,product_title,ships_from_to,grams,quality,btc_price,cost_per_gram,cost_per_gram_pure,escrow,product_link,vendor_link,vendor_name,successful_transactions,rating,ships_from,ships_to,ships_to_US,ships_from_US,ships_to_NL,ships_from_NL,ships_to_FR,ships_from_FR,ships_to_GB,ships_from_GB,ships_to_CA,ships_from_CA,ships_to_DE,ships_from_DE,ships_to_AU,ships_from_AU,ships_to_EU,ships_from_EU,ships_to_ES,ships_from_ES,ships_to_N. America,ships_from_N. America,ships_to_BE,ships_from_BE,ships_to_WW,ships_from_WW,ships_to_SI,ships_from_SI,ships_to_IT,ships_from_IT,ships_to_DK,ships_from_DK,ships_to_S. America,ships_from_S. America,ships_to_CH,ships_from_CH,ships_to_BR,ships_from_BR,ships_to_CZ,ships_from_CZ,ships_to_SE,ships_from_SE,ships_to_CO,ships_from_CO,ships_to_CN,ships_from_CN,ships_to_PL,ships_from_PL,ships_to_GR,ships_from_GR
58,***** 1 gm uk to uk sociable cocaine 75% pure,GB  → GB,1,75,0.01937,0.01937,0.02582666667,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=707677.918636,http://lchudifyeqm4ldjj.onion/contactMember?member=cocaineuk,cocaineuk,380,4.93,GB,GB,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
59,***** 14 gm uk to uk sociable cocaine 75% pure,GB  → GB,14,75,0.205,0.01464285714,0.01952380952,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=693725.279434,http://lchudifyeqm4ldjj.onion/contactMember?member=cocaineuk,cocaineuk,380,4.93,GB,GB,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
60,***** 1gram uk to uk pure perivian flake 95%,GB  → GB,1,95,0.03228,0.03228,0.03397894737,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=762173.571369,http://lchudifyeqm4ldjj.onion/contactMember?member=cocaineuk,cocaineuk,380,4.93,GB,GB,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
61,***** 2 gm uk to uk sociable cocaine 75% pure,GB  → GB,2,75,0.0352,0.0176,0.02346666667,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=225853.266531,http://lchudifyeqm4ldjj.onion/contactMember?member=cocaineuk,cocaineuk,380,4.93,GB,GB,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
62,***** 28 gm uk to uk sociable cocaine 75% pure,GB  → GB,28,75,0.3698,0.01320714286,0.01760952381,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=80812.847276,http://lchudifyeqm4ldjj.onion/contactMember?member=cocaineuk,cocaineuk,380,4.93,GB,GB,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
63,***** 2gram uk to uk pure perivian flake 95%,GB  → GB,2,95,0.0616,0.0308,0.03242105263,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=654234.964671,http://lchudifyeqm4ldjj.onion/contactMember?member=cocaineuk,cocaineuk,380,4.93,GB,GB,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
64,***** 3.5 gm uk to uk sociable cocaine 75% pure,GB  → GB,3.5,75,0.0557,0.01591428571,0.02121904762,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=696992.167313,http://lchudifyeqm4ldjj.onion/contactMember?member=cocaineuk,cocaineuk,380,4.93,GB,GB,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
65,***** 3.5 gram uk to uk pure perivian flake 95%,GB  → GB,3.5,95,0.1027,0.02934285714,0.03088721805,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=228321.26426,http://lchudifyeqm4ldjj.onion/contactMember?member=cocaineuk,cocaineuk,380,4.93,GB,GB,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
66,***** 5 gm uk to uk sociable cocaine 75% pure,GB  → GB,5,75,0.0886,0.01772,0.02362666667,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=915504.149492,http://lchudifyeqm4ldjj.onion/contactMember?member=cocaineuk,cocaineuk,380,4.93,GB,GB,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
67,***** 7 gm uk to uk sociable cocaine 75% pure,GB  → GB,7,75,0.1086,0.01551428571,0.02068571429,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=193725.274480,http://lchudifyeqm4ldjj.onion/contactMember?member=cocaineuk,cocaineuk,380,4.93,GB,GB,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
68,***** FREEBIE 0.2 gm uk to uk sociable 75% pure,GB  → GB,0.2,75,0.00586,0.0293,0.03906666667,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=918297.356524,http://lchudifyeqm4ldjj.onion/contactMember?member=cocaineuk,cocaineuk,380,4.93,GB,GB,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
70,*****14 gram uk to uk pure perivian flake 95%,GB  → GB,14,95,0.387,0.02764285714,0.02909774436,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=761173.284793,http://lchudifyeqm4ldjj.onion/contactMember?member=cocaineuk,cocaineuk,380,4.93,GB,GB,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
71,*****7 gram uk to uk pure perivian flake 95%,GB  → GB,7,95,0.1995,0.0285,0.03,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=443039.285376,http://lchudifyeqm4ldjj.onion/contactMember?member=cocaineuk,cocaineuk,380,4.93,GB,GB,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
73,***Best Cocaine*** UNCUT 90% 100g,"DE  → DE, EU",100,90,2.47,0.0247,0.02744444444,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=673042.652090,http://lchudifyeqm4ldjj.onion/contactMember?member=Barrio,Barrio,100,5,DE,"DE, EU",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
74,***Best Cocaine*** UNCUT 90% 10g,"DE  → DE, EU",10,90,0.2577,0.02577,0.02863333333,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=305057.937943,http://lchudifyeqm4ldjj.onion/contactMember?member=Barrio,Barrio,100,5,DE,"DE, EU",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
75,***Best Cocaine*** UNCUT 90% 1g,"DE  → DE, EU",1,90,0.0283,0.0283,0.03144444444,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=765125.162189,http://lchudifyeqm4ldjj.onion/contactMember?member=Barrio,Barrio,100,5,DE,"DE, EU",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
76,***Best Cocaine*** UNCUT 90% 50g,"DE  → DE, EU",50,90,1.288,0.02576,0.02862222222,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=31007.957160,http://lchudifyeqm4ldjj.onion/contactMember?member=Barrio,Barrio,100,5,DE,"DE, EU",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
77,***Best Cocaine*** UNCUT 90% 5g,"DE  → DE, EU",5,90,0.1288,0.02576,0.02862222222,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=530824.459836,http://lchudifyeqm4ldjj.onion/contactMember?member=Barrio,Barrio,100,5,DE,"DE, EU",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
90,**JULY 2017** 14G of MK1 (50%) *Columbiana,GB  → EU,14,50,0.2406,0.01718571429,0.03437142857,0,http://lchudifyeqm4ldjj.onion/viewProduct?offer=266728.529431,http://lchudifyeqm4ldjj.onion/contactMember?member=LONDON-UNDERGROUND,LONDON-UNDERGROUND,140,4.87,GB,EU,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
93,**JULY 2017** 1G of MK1 (50%) *Columbiana,GB  → EU,1,50,0.02054,0.02054,0.04108,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=856700.321309,http://lchudifyeqm4ldjj.onion/contactMember?member=LONDON-UNDERGROUND,LONDON-UNDERGROUND,140,4.87,GB,EU,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
96,**JULY 2017** 28G of MK1 (50%) *Columbiana,GB  → EU,28,50,0.466,0.01664285714,0.03328571429,0,http://lchudifyeqm4ldjj.onion/viewProduct?offer=331463.422203,http://lchudifyeqm4ldjj.onion/contactMember?member=LONDON-UNDERGROUND,LONDON-UNDERGROUND,140,4.87,GB,EU,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
99,**JULY 2017** 3.5G of MK1 (50%) *Columbiana,GB  → EU,3.5,50,0.0704,0.02011428571,0.04022857143,0,http://lchudifyeqm4ldjj.onion/viewProduct?offer=348074.218015,http://lchudifyeqm4ldjj.onion/contactMember?member=LONDON-UNDERGROUND,LONDON-UNDERGROUND,140,4.87,GB,EU,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
103,**JULY 2017** 7G of MK1 (50%) *Columbiana,GB  → EU,7,50,0.129,0.01842857143,0.03685714286,0,http://lchudifyeqm4ldjj.onion/viewProduct?offer=113238.550349,http://lchudifyeqm4ldjj.onion/contactMember?member=LONDON-UNDERGROUND,LONDON-UNDERGROUND,140,4.87,GB,EU,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
